INFO  - 2013-12-04 19:46:07.992; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-12-04 19:46:07.992; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-12-04 19:46:07.992; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-12-04 19:46:07.993; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-12-04 19:46:07.993; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-12-04 19:46:07.993; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-12-04 19:46:07.993; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-12-04 19:46:07.994; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-12-04 19:46:07.994; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-12-04 19:46:07.994; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-12-04 19:46:07.994; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2013-12-04 19:46:07.994; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-12-04 19:46:07.995; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-12-04 19:46:07.995; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2013-12-04 19:46:07.995; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-12-04 19:46:07.996; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2013-12-04 19:46:07.996; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-12-04 19:46:07.996; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-12-04 19:46:07.997; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/home/Downloads/solr-4.6.0/dist/solr-cell-4.6.0.jar' to classloader
